                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                  1.242,                 1.3274,                 1.1173,                0.19537,                0.43089,                0.23654,                0.13085,                 1.5694,                 2.3294,                 1.3749,             0.00096043,             0.00096043,             0.00096043
                    120,                 1.2033,                 1.3417,                 1.1084,                0.23528,                0.37797,                0.21858,                0.11762,                  1.584,                 2.6189,                 1.3703,             0.00095795,             0.00095795,             0.00095795
                    121,                 1.2128,                 1.3235,                 1.1063,                0.23327,                0.40897,                0.21993,                0.11941,                 1.5917,                  2.373,                 1.3628,             0.00095548,             0.00095548,             0.00095548
                    122,                 1.2606,                 1.3908,                 1.1338,                0.21633,                0.37367,                0.19787,                0.10479,                 1.6112,                 2.8842,                 1.4051,               0.000953,               0.000953,               0.000953
                    123,                 1.2076,                 1.3202,                 1.1082,                 0.1761,                0.42288,                0.19298,                0.10744,                 1.5732,                 3.1876,                 1.3608,             0.00095053,             0.00095053,             0.00095053
                    124,                 1.1961,                 1.3135,                 1.1008,                0.17537,                0.39888,                0.19494,                0.10927,                 1.5776,                 2.6978,                 1.3842,             0.00094805,             0.00094805,             0.00094805
                    125,                  1.206,                 1.3155,                 1.1266,                0.22977,                0.41351,                0.22329,                0.12377,                 1.5999,                 2.5181,                 1.3822,             0.00094558,             0.00094558,             0.00094558
                    126,                 1.1764,                 1.2991,                 1.1014,                 0.2085,                0.41217,                0.20425,                0.11131,                 1.6673,                 2.6912,                 1.4115,              0.0009431,              0.0009431,              0.0009431
                    127,                 1.1525,                 1.3121,                 1.1013,                 0.2137,                0.39689,                  0.211,                0.11767,                 1.6086,                 2.4436,                 1.3756,             0.00094062,             0.00094062,             0.00094062
                    128,                 1.1626,                 1.2537,                 1.0894,                0.19209,                0.39977,                0.20488,                0.11128,                 1.6281,                 2.3345,                 1.4193,             0.00093815,             0.00093815,             0.00093815
                    129,                 1.1824,                 1.2514,                 1.1021,                0.24721,                0.37125,                0.22046,                0.12478,                 1.5962,                 2.3047,                 1.4012,             0.00093567,             0.00093567,             0.00093567
                    130,                 1.1734,                 1.2527,                 1.1025,                0.23497,                 0.3894,                0.22682,                0.12352,                 1.6003,                 2.4042,                 1.4075,              0.0009332,              0.0009332,              0.0009332
                    131,                 1.1584,                 1.2278,                 1.0918,                0.25428,                0.33994,                0.21174,                 0.1179,                 1.5949,                 2.4562,                 1.3846,             0.00093073,             0.00093073,             0.00093073
                    132,                 1.1511,                 1.2443,                 1.0803,                0.19963,                0.37473,                0.20934,                0.11677,                 1.6041,                   2.57,                 1.3864,             0.00092825,             0.00092825,             0.00092825
                    133,                 1.1589,                 1.2248,                 1.0831,                0.24033,                0.29832,                0.20593,                0.11481,                 1.5758,                 2.6868,                 1.3809,             0.00092577,             0.00092577,             0.00092577
                    134,                 1.1658,                 1.2582,                  1.094,                0.17994,                0.40593,                0.19388,                0.10844,                 1.5756,                 2.7777,                 1.3724,              0.0009233,              0.0009233,              0.0009233
                    135,                 1.1581,                 1.2407,                 1.0849,                0.17887,                0.39918,                0.17619,                0.09615,                 1.5741,                 2.9691,                 1.3994,             0.00092083,             0.00092083,             0.00092083
                    136,                 1.1808,                 1.2658,                 1.1109,                0.20281,                0.40492,                0.19703,                0.11199,                 1.6036,                 2.6948,                 1.3947,             0.00091835,             0.00091835,             0.00091835
                    137,                  1.185,                 1.2234,                 1.1031,                0.18521,                0.42198,                0.19036,                0.10283,                 1.6498,                 2.8025,                 1.4304,             0.00091588,             0.00091588,             0.00091588
                    138,                 1.1446,                 1.1963,                 1.0814,                0.21663,                 0.3497,                0.20739,                0.11543,                 1.6122,                 2.8375,                 1.4068,              0.0009134,              0.0009134,              0.0009134
                    139,                 1.1863,                 1.2639,                 1.1095,                0.21487,                0.39401,                0.21138,                0.11321,                 1.6122,                 2.6974,                 1.4081,             0.00091092,             0.00091092,             0.00091092
